Dataset,Variant,MAPE,RMSE,MAE,R2,Time(s)
Belgium,Full-Model,1.3505340079521455,161.84939489185106,120.323927434328,0.9833036967875263,25.888109922409058
Belgium,No-Causal,1.3581312499972646,162.4600581267863,120.86249480927576,0.9831774676703658,22.479236841201782
Belgium,No-LSE,1.3552893753545507,162.4655311435702,120.90165657111856,0.983176334203424,27.79274272918701
ISO-NE,Full-Model,1.4527865679773504,256.91219397538373,196.16046109225582,0.9840987324714661,4.605123043060303
ISO-NE,No-Causal,1.5633219610546285,275.3911476803897,210.9708131883965,0.9817290306091309,2.310119867324829
ISO-NE,No-LSE,1.6331185585587855,277.7491944538779,216.48680773458847,0.981414794921875,4.031495094299316
Malaysia,Full-Model,3.5995175634672507,2059.4156292006805,1567.4385446016906,0.9787119030952454,3.5201101303100586
Malaysia,No-Causal,3.660925328671686,2074.632896119732,1584.4702828829406,0.9783961176872253,4.691445827484131
Malaysia,No-LSE,5.0647548782083085,2617.954807813384,1975.8494586214993,0.9655988216400146,2.2165493965148926
