Dataset,Variant,MAPE,RMSE,MAE,R2
Malaysia,Full-Model,2.8256399033993915,1797.8880447737188,1276.7213541666667,0.9837753772735596
Malaysia,No-Causal,3.482677024493114,1913.862119004905,1466.7721620987022,0.9816147089004517
Malaysia,No-LSE,4.4271371888918445,2439.6209295319427,1806.6694629439892,0.9701259732246399
Malaysia,No-Order2,3.4185594029096857,2044.1151174239917,1476.2494543523737,0.9790270328521729
Malaysia,No-Pruning,4.235892755746506,2800.456864278579,1950.4348077826162,0.9606353044509888
ISO-NE,Full-Model,1.3242315279013765,240.60678932288704,179.14327852843238,0.9860531091690063
ISO-NE,No-Causal,1.4032008217883836,249.18712860319755,187.82117566384903,0.9850406050682068
ISO-NE,No-LSE,1.5380468201194346,269.7015674326536,204.95538963776468,0.9824761748313904
ISO-NE,No-Order2,1.365389214654151,245.69822238872916,185.19021556416496,0.9854565858840942
ISO-NE,No-Pruning,1.4032008217883836,249.18712860319755,187.82117566384903,0.9850406050682068
Belgium,Full-Model,1.437603993062424,181.55359267247874,135.32007059162504,0.9817360419373051
Belgium,No-Causal,1.4579820519616438,184.1313786632349,137.40983665932336,0.9812137189035814
Belgium,No-LSE,1.6390691856816686,207.26556505654725,154.98469951288175,0.9761965714279591
Belgium,No-Order2,1.7448731903965744,218.48542122106718,164.34711164851853,0.9735497285670571
Belgium,No-Pruning,1.9336262316658779,240.93208700124765,181.9695687893176,0.9678356712993298
